Change,Country,Location,Name,NameWoDiacritics,Subdivision,Status,Function,Date,IATA,Coordinates,Remarks
,NL,RTM,Rotterdam,Rotterdam,ZH,AI,1-3-----,0401,,5155N 00429E,
,DE,HAM,Hamburg,Hamburg,HH,AI,12345---,0401,,5333N 00958E,
,BE,ANR,Antwerpen,Antwerpen,VAN,AI,1234----,0401,,5113N 00425E,
,FR,LEH,Le Havre,Le Havre,76,AI,1-3-----,0401,,4929N 00007E,
,FI,HEL,Helsinki (Helsingfors),Helsinki (Helsingfors),18,AI,1234----,0401,HEL,6010N 02458E,
,FI,KTK,Kotka,Kotka,08,AI,1-3-----,0401,,6028N 02657E,
,FI,TKU,Turku (Åbo),Turku (Abo),19,AI,1-3-----,0401,TKU,6027N 02217E,
,FI,RAU,Rauma (Raumo),Rauma (Raumo),17,AI,1-3-----,0401,,6108N 02130E,
,SE,GOT,Göteborg,Goteborg,14,AI,1234----,0401,GOT,5742N 01156E,
,SE,MMA,Malmö,Malmo,12,AI,1-3-----,0401,MMX,5536N 01300E,
,DK,AAR,Århus,Arhus,82,AI,1-3-----,0401,,5609N 01013E,
,SG,SIN,Singapore,Singapore,,AI,12345---,0401,SIN,0116N 10345E,
,US,NYC,New York,New York,NY,AI,12345---,0401,NYC,4042N 07401W,
,DE,BRV,Bremerhaven,Bremerhaven,HB,AI,1-3-----,0401,,5333N 00835E,
,FR,CDG,Paris Charles de Gaulle Apt,Paris Charles de Gaulle Apt,95,AI,-2------,0401,CDG,4901N 00233E,
,NL,AMF,Amersfoort,Amersfoort,UT,AI,--3-----,0401,,5209N 00524E,
,CL,VAP,Valparaíso,Valparaiso,VS,AI,1-3-----,0401,,3302S 07138W,
